Wall time,Step,Value
1647135193.5888,1336999,-346.0
1647135214.417089,1337999,-319.6000061035156
1647135359.553219,1344999,-367.0
1647135401.060306,1346999,-395.20001220703125
1647135442.4863617,1348999,-347.20001220703125
1647135567.130474,1354999,-424.0
1647135608.33709,1356999,-307.0
1647135628.87368,1357999,-432.3999938964844
1647135649.559628,1358999,-371.79998779296875
1647135670.342473,1359999,-364.6000061035156
1647135711.698685,1361999,-306.3999938964844
1647135753.129593,1363999,-386.20001220703125
1647135773.942537,1364999,-325.6000061035156
1647135815.479384,1366999,-299.79998779296875
1647135877.634696,1369999,-361.6000061035156
1647135919.137647,1371999,-409.0
1647135981.284944,1374999,-308.20001220703125
1647136043.4333582,1377999,-398.20001220703125
1647136064.080353,1378999,-337.0
1647136105.451102,1380999,-326.20001220703125
1647136126.289031,1381999,-389.20001220703125
1647136229.7644072,1386999,-332.79998779296875
1647136250.6305778,1387999,-548.7999877929688
1647136271.304243,1388999,-277.6000061035156
1647136312.775373,1390999,-382.6000061035156
1647136416.011151,1395999,-295.6000061035156
1647136436.728405,1396999,-389.79998779296875
1647136457.201304,1397999,-231.0
1647136561.281396,1402999,-327.3999938964844
1647136644.168087,1406999,-353.79998779296875
1647136664.985632,1407999,-376.0
1647136706.363695,1409999,-358.0
1647136748.012576,1411999,-421.0
1647136810.054396,1414999,-370.6000061035156
1647136913.820649,1419999,-369.3999938964844
1647137058.898998,1426999,-375.3999938964844
1647137100.220095,1428999,-299.20001220703125
1647137120.983699,1429999,-364.6000061035156
1647137162.382501,1431999,-338.79998779296875
1647137203.799366,1433999,-360.3999938964844
1647137245.219241,1435999,-350.79998779296875
1647137286.67361,1437999,-345.3999938964844
1647137307.621818,1438999,-362.20001220703125
1647137328.281448,1439999,-368.20001220703125
1647137348.961786,1440999,-306.3999938964844
1647137473.234284,1446999,-307.6000061035156
1647137494.145804,1447999,-404.79998779296875
1647137514.928048,1448999,-363.3999938964844
1647137535.689874,1449999,-411.3999938964844
